student_number,cycle,academic_year,school,grade,test_version,subject,percent_correct
301001532,1,2019,School2,11,1,ELA,29.17
701156639,1,2019,School2,10,1,Math,22.41
701156639,1,2019,School2,10,1,ELA,27.08
303001305,1,2019,School2,9,1,Math,37.93
303001305,1,2019,School2,9,1,ELA,52.08
302001270,1,2019,School2,10,1,Math,41.38
302001270,1,2019,School2,10,1,ELA,50
304005,1,2019,School2,11,1,Math,81.03
304005,1,2019,School2,11,1,ELA,87.5
305001452,1,2019,School2,9,1,Math,24.14
305001452,1,2019,School2,9,1,ELA,26.04
302001050,1,2019,School2,9,1,Math,36.21
302001050,1,2019,School2,9,1,ELA,31.25
30200001,1,2019,School2,10,1,Math,22.41
30200001,1,2019,School2,10,1,ELA,32.29
305001487,1,2019,School2,10,1,Math,43.1
305001487,1,2019,School2,10,1,ELA,36.46
245509135,1,2019,School2,10,1,Math,17.24
245509135,1,2019,School2,10,1,ELA,37.5
305001348,1,2019,School2,10,1,Math,48.28
305001348,1,2019,School2,10,1,ELA,61.46
701152651,1,2019,School2,9,1,Math,32.76
701152651,1,2019,School2,9,1,ELA,33.33
303001222,1,2019,School2,11,0.75,Math,13.64
303001222,1,2019,School2,11,0.75,ELA,22.22
359539543,1,2019,School2,11,0.75,Math,13.64
359539543,1,2019,School2,11,0.75,ELA,15.28
304008,1,2019,School2,11,1,Math,48.28
304008,1,2019,School2,11,1,ELA,41.67
701153858,1,2019,School2,10,1,Math,27.59
701153858,1,2019,School2,10,1,ELA,31.25
2021008,1,2019,School2,10,1,Math,67.24
2021008,1,2019,School2,10,1,ELA,71.88
2021009,1,2019,School2,10,1,Math,75.86
2021009,1,2019,School2,10,1,ELA,75
301001452,1,2019,School2,11,1,Math,17.24
301001452,1,2019,School2,11,1,ELA,45.83
301001533,1,2019,School2,11,1,Math,20.69
301001533,1,2019,School2,11,1,ELA,35.42
305001603,1,2019,School2,10,1,Math,51.72
305001603,1,2019,School2,10,1,ELA,35.42
2021010,1,2019,School2,9,1,Math,34.48
2021010,1,2019,School2,9,1,ELA,30.21
305001280,1,2019,School2,10,1,Math,48.28
305001280,1,2019,School2,10,1,ELA,32.29
30200002,1,2019,School2,10,1,Math,17.24
30200002,1,2019,School2,10,1,ELA,37.5
303001310,1,2019,School2,9,1,Math,34.48
303001310,1,2019,School2,9,1,ELA,23.96
302001132,1,2019,School2,11,1,Math,37.93
302001132,1,2019,School2,11,1,ELA,41.67
302001272,1,2019,School2,9,1,Math,32.76
302001272,1,2019,School2,9,1,ELA,23.96
30200003,1,2019,School2,10,1,Math,48.28
30200003,1,2019,School2,10,1,ELA,46.88
701153857,1,2019,School2,9,1,Math,32.76
701153857,1,2019,School2,9,1,ELA,13.54
359566024,1,2019,School2,10,0.5,Math,24.14
359566024,1,2019,School2,10,0.5,ELA,35.42
3042022010,1,2019,School2,9,1,Math,50
3042022010,1,2019,School2,9,1,ELA,50
701152583,1,2019,School2,11,1,Math,43.1
701152583,1,2019,School2,11,1,ELA,48.96
3042022009,1,2019,School2,9,1,Math,56.9
3042022009,1,2019,School2,9,1,ELA,36.46
301001539,1,2019,School2,10,1,Math,32.76
301001539,1,2019,School2,10,1,ELA,28.13
245572594,1,2019,School2,9,1,Math,39.66
245572594,1,2019,School2,9,1,ELA,43.75
306001322,1,2019,School2,11,1,Math,62.07
306001322,1,2019,School2,11,1,ELA,43.75
303001216,1,2019,School2,11,1,Math,55.17
303001216,1,2019,School2,11,1,ELA,62.5
701156033,1,2019,School2,9,1,Math,25.86
701156033,1,2019,School2,9,1,ELA,22.92
303001311,1,2019,School2,9,1,Math,53.45
303001311,1,2019,School2,9,1,ELA,40.63
304011,1,2019,School2,11,1,Math,55.17
304011,1,2019,School2,11,1,ELA,56.25
2021014,1,2019,School2,10,1,Math,46.55
2021014,1,2019,School2,10,1,ELA,46.88
701156651,1,2019,School2,11,1,Math,25.86
701156651,1,2019,School2,11,1,ELA,29.17
3042022013,1,2019,School2,9,1,Math,56.9
3042022013,1,2019,School2,9,1,ELA,79.17
305001279,1,2019,School2,9,1,Math,27.59
305001279,1,2019,School2,9,1,ELA,34.38
30200005,1,2019,School2,9,1,Math,48.28
30200005,1,2019,School2,9,1,ELA,23.96
393145082,1,2019,School2,9,1,Math,25.86
393145082,1,2019,School2,9,1,ELA,16.67
303001312,1,2019,School2,9,1,Math,22.41
303001312,1,2019,School2,9,1,ELA,36.46
303001201,1,2019,School2,11,1,Math,75.86
303001201,1,2019,School2,11,1,ELA,56.25
30200006,1,2019,School2,11,1,Math,68.97
30200006,1,2019,School2,11,1,ELA,62.5
305001447,1,2019,School2,11,1,Math,32.76
305001447,1,2019,School2,11,1,ELA,29.17
2021017,1,2019,School2,10,1,Math,62.07
2021017,1,2019,School2,10,1,ELA,69.79
304013,1,2019,School2,11,1,Math,67.24
304013,1,2019,School2,11,1,ELA,64.58
3042022014,1,2019,School2,9,1,Math,48.28
3042022014,1,2019,School2,9,1,ELA,48.96
302001273,1,2019,School2,10,1,Math,51.72
302001273,1,2019,School2,10,1,ELA,56.25
302001496,1,2019,School2,10,1,Math,15.52
302001496,1,2019,School2,10,1,ELA,22.92
305002350,1,2019,School2,11,1,Math,27.59
305002350,1,2019,School2,11,1,ELA,50
30200008,1,2019,School2,11,1,Math,48.28
30200008,1,2019,School2,11,1,ELA,56.25
701152655,1,2019,School2,11,0.75,Math,20.45
701152655,1,2019,School2,11,0.75,ELA,33.33
701152663,1,2019,School2,11,1,Math,34.48
701152663,1,2019,School2,11,1,ELA,52.08
302001109,1,2019,School2,11,1,Math,41.38
302001109,1,2019,School2,11,1,ELA,44.79
303001315,1,2019,School2,9,1,Math,58.62
303001315,1,2019,School2,9,1,ELA,62.5
304015,1,2019,School2,11,1,Math,34.48
304015,1,2019,School2,11,1,ELA,34.38
3042022015,1,2019,School2,9,1,Math,29.31
3042022015,1,2019,School2,9,1,ELA,20.83
304044,1,2019,School2,11,1,Math,60.34
304044,1,2019,School2,11,1,ELA,36.46
30200009,1,2019,School2,10,1,Math,13.79
30200009,1,2019,School2,10,1,ELA,20.83
302001275,1,2019,School2,10,1,Math,41.38
302001275,1,2019,School2,10,1,ELA,27.08
564410086,1,2019,School2,10,1,Math,51.72
564410086,1,2019,School2,10,1,ELA,42.71
301001546,1,2019,School2,11,1,Math,48.28
301001546,1,2019,School2,11,1,ELA,71.88
306001323,1,2019,School2,11,1,Math,34.48
306001323,1,2019,School2,11,1,ELA,39.58
486168119,1,2019,School2,9,1,Math,37.93
486168119,1,2019,School2,9,1,ELA,33.33
302001129,1,2019,School2,11,1,Math,44.83
302001129,1,2019,School2,11,1,ELA,60.42
303001318,1,2019,School2,9,1,Math,58.62
303001318,1,2019,School2,9,1,ELA,61.46
303001319,1,2019,School2,9,1,Math,46.55
303001319,1,2019,School2,9,1,ELA,32.29
701153786,1,2019,School2,10,1,Math,55.17
701153786,1,2019,School2,10,1,ELA,58.33
3042022017,1,2019,School2,9,1,Math,36.21
3042022017,1,2019,School2,9,1,ELA,34.38
701158153,1,2019,School2,10,1,Math,34.48
701158153,1,2019,School2,10,1,ELA,38.54
303001280,1,2019,School2,9,1,Math,34.48
303001280,1,2019,School2,9,1,ELA,41.67
302001335,1,2019,School2,9,1,Math,39.66
302001335,1,2019,School2,9,1,ELA,29.17
701156016,1,2019,School2,9,1,Math,20.69
701156016,1,2019,School2,9,1,ELA,13.54
2021020,1,2019,School2,10,1,Math,46.55
2021020,1,2019,School2,10,1,ELA,53.13
304017,1,2019,School2,11,1,Math,24.14
304017,1,2019,School2,11,1,ELA,47.92
30200010,1,2019,School2,10,1,Math,29.31
30200010,1,2019,School2,10,1,ELA,27.08
302001169,1,2019,School2,10,1,Math,24.14
302001169,1,2019,School2,10,1,ELA,25
305001457,1,2019,School2,10,1,Math,63.79
305001457,1,2019,School2,10,1,ELA,68.75
302001276,1,2019,School2,10,1,Math,32.76
302001276,1,2019,School2,10,1,ELA,38.54
701158958,1,2019,School2,11,1,Math,18.97
701158958,1,2019,School2,11,1,ELA,34.38
305002380,1,2019,School2,10,1,Math,43.1
305002380,1,2019,School2,10,1,ELA,37.5
882552538,1,2019,School2,10,1,Math,56.9
882552538,1,2019,School2,10,1,ELA,59.38
304019,1,2019,School2,11,1,Math,72.41
304019,1,2019,School2,11,1,ELA,50
301001548,1,2019,School2,10,1,Math,36.21
301001548,1,2019,School2,10,1,ELA,31.25
305001459,1,2019,School2,10,1,Math,36.21
305001459,1,2019,School2,10,1,ELA,54.17
701153779,1,2019,School2,10,1,Math,39.66
701153779,1,2019,School2,10,1,ELA,45.83
2021001,1,2019,School2,9,1,Math,29.31
2021001,1,2019,School2,9,1,ELA,31.25
301001549,1,2019,School2,11,1,Math,62.07
301001549,1,2019,School2,11,1,ELA,77.08
303001205,1,2019,School2,11,1,Math,53.45
303001205,1,2019,School2,11,1,ELA,67.71
3042022081,1,2019,School2,9,1,Math,27.59
3042022081,1,2019,School2,9,1,ELA,43.75
701156640,1,2019,School2,9,1,Math,29.31
701156640,1,2019,School2,9,1,ELA,45.83
301001552,1,2019,School2,11,1,Math,36.21
301001552,1,2019,School2,11,1,ELA,46.88
302001278,1,2019,School2,10,1,Math,39.66
302001278,1,2019,School2,10,1,ELA,29.17
2021025,1,2019,School2,9,1,Math,39.66
2021025,1,2019,School2,9,1,ELA,45.83
2021027,1,2019,School2,10,1,Math,15.52
2021027,1,2019,School2,10,1,ELA,47.92
2021026,1,2019,School2,9,1,Math,24.14
2021026,1,2019,School2,9,1,ELA,41.67
304020,1,2019,School2,10,1,Math,39.66
304020,1,2019,School2,10,1,ELA,42.71
470443930,1,2019,School2,10,1,Math,32.76
470443930,1,2019,School2,10,1,ELA,43.75
304021,1,2019,School2,10,1,Math,20.69
304021,1,2019,School2,10,1,ELA,16.67
2021029,1,2019,School2,9,1,Math,43.1
2021029,1,2019,School2,9,1,ELA,20.83
302001315,1,2019,School2,10,1,Math,31.03
302001315,1,2019,School2,10,1,ELA,18.75
303001324,1,2019,School2,9,1,Math,41.38
303001324,1,2019,School2,9,1,ELA,28.13
304022,1,2019,School2,11,1,Math,44.83
304022,1,2019,School2,11,1,ELA,50
305002328,1,2019,School2,10,1,Math,51.72
305002328,1,2019,School2,10,1,ELA,50
302001155,1,2019,School2,9,1,Math,37.93
302001155,1,2019,School2,9,1,ELA,45.83
701158959,1,2019,School2,11,1,Math,20.69
701158959,1,2019,School2,11,1,ELA,28.13
303001098,1,2019,School2,11,1,Math,29.31
303001098,1,2019,School2,11,1,ELA,41.67
701156017,1,2019,School2,9,1,Math,53.45
701156017,1,2019,School2,9,1,ELA,44.79
302001280,1,2019,School2,10,1,Math,56.9
302001280,1,2019,School2,10,1,ELA,41.67
303001325,1,2019,School2,9,1,Math,24.14
303001325,1,2019,School2,9,1,ELA,21.88
302001112,1,2019,School2,10,1,Math,0
302001112,1,2019,School2,10,1,ELA,1.04
306001324,1,2019,School2,9,1,Math,25.86
306001324,1,2019,School2,9,1,ELA,16.67
302001319,1,2019,School2,10,1,Math,39.66
302001319,1,2019,School2,10,1,ELA,37.5
302001122,1,2019,School2,11,1,Math,46.55
302001122,1,2019,School2,11,1,ELA,50
306001180,1,2019,School2,11,1,Math,17.24
306001180,1,2019,School2,11,1,ELA,32.29
701156642,1,2019,School2,9,1,Math,31.03
701156642,1,2019,School2,9,1,ELA,21.88
701153834,1,2019,School2,9,1,Math,25.86
701153834,1,2019,School2,9,1,ELA,40.63
305001274,1,2019,School2,10,1,Math,67.24
305001274,1,2019,School2,10,1,ELA,72.92
301001505,1,2019,School2,11,0.5,Math,48.28
301001505,1,2019,School2,11,0.5,ELA,31.25
301001353,1,2019,School2,10,1,Math,50
301001353,1,2019,School2,10,1,ELA,64.58
3042022047,1,2019,School2,9,1,Math,46.55
3042022047,1,2019,School2,9,1,ELA,47.92
305002382,1,2019,School2,9,1,Math,60.34
305002382,1,2019,School2,9,1,ELA,41.67
303001327,1,2019,School2,9,1,Math,51.72
303001327,1,2019,School2,9,1,ELA,53.13
303001328,1,2019,School2,9,1,Math,37.93
303001328,1,2019,School2,9,1,ELA,29.17
306001333,1,2019,School2,11,1,Math,39.66
306001333,1,2019,School2,11,1,ELA,40.63
701152690,1,2019,School2,10,1,Math,25.86
701152690,1,2019,School2,10,1,ELA,38.54
701153824,1,2019,School2,9,1,Math,22.41
701153824,1,2019,School2,9,1,ELA,30.21
3042022084,1,2019,School2,9,1,Math,29.31
3042022084,1,2019,School2,9,1,ELA,18.75
2021034,1,2019,School2,10,1,Math,46.55
2021034,1,2019,School2,10,1,ELA,63.54
2021035,1,2019,School2,9,1,Math,46.55
2021035,1,2019,School2,9,1,ELA,47.92
301001181,1,2019,School2,11,1,Math,39.66
301001181,1,2019,School2,11,1,ELA,35.42
302001283,1,2019,School2,10,1,Math,43.1
302001283,1,2019,School2,10,1,ELA,41.67
302001284,1,2019,School2,10,1,Math,34.48
302001284,1,2019,School2,10,1,ELA,28.13
303001162,1,2019,School2,11,1,Math,41.38
303001162,1,2019,School2,11,1,ELA,37.5
30200011,1,2019,School2,10,1,Math,0
30200011,1,2019,School2,10,1,ELA,0
303001330,1,2019,School2,9,1,Math,53.45
303001330,1,2019,School2,9,1,ELA,66.67
303001163,1,2019,School2,11,1,Math,63.79
303001163,1,2019,School2,11,1,ELA,60.42
304202285,1,2019,School2,9,1,Math,62.07
304202285,1,2019,School2,9,1,ELA,61.46
302001765,1,2019,School2,11,1,Math,62.07
302001765,1,2019,School2,11,1,ELA,67.71
304028,1,2019,School2,11,1,Math,53.45
304028,1,2019,School2,11,1,ELA,33.33
2021036,1,2019,School2,9,1,Math,41.38
2021036,1,2019,School2,9,1,ELA,39.58
303001105,1,2019,School2,11,1,Math,31.03
303001105,1,2019,School2,11,1,ELA,27.08
303001106,1,2019,School2,11,1,Math,22.41
303001106,1,2019,School2,11,1,ELA,33.33
3042022024,1,2019,School2,9,1,Math,56.9
3042022024,1,2019,School2,9,1,ELA,54.17
303001331,1,2019,School2,9,1,Math,36.21
303001331,1,2019,School2,9,1,ELA,28.13
2021037,1,2019,School2,10,1,Math,46.55
2021037,1,2019,School2,10,1,ELA,59.38
306001188,1,2019,School2,11,1,Math,31.03
306001188,1,2019,School2,11,1,ELA,34.38
302001285,1,2019,School2,10,1,Math,70.69
302001285,1,2019,School2,10,1,ELA,73.96
2021038,1,2019,School2,9,1,Math,39.66
2021038,1,2019,School2,9,1,ELA,38.54
701156394,1,2019,School2,9,1,Math,18.97
701156394,1,2019,School2,9,1,ELA,43.75
2021039,1,2019,School2,9,1,Math,41.38
2021039,1,2019,School2,9,1,ELA,67.71
104513935,1,2019,School2,10,1,Math,27.59
104513935,1,2019,School2,10,1,ELA,31.25
304030,1,2019,School2,11,1,Math,55.17
304030,1,2019,School2,11,1,ELA,72.92
3042020101,1,2019,School2,11,1,Math,70.69
3042020101,1,2019,School2,11,1,ELA,59.38
305002124,1,2019,School2,11,1,Math,56.9
305002124,1,2019,School2,11,1,ELA,51.04
701158962,1,2019,School2,11,1,Math,31.03
701158962,1,2019,School2,11,1,ELA,32.29
701158954,1,2019,School2,10,1,Math,25.86
701158954,1,2019,School2,10,1,ELA,63.54
302001217,1,2019,School2,9,1,Math,53.45
302001217,1,2019,School2,9,1,ELA,43.75
3042022031,1,2019,School2,9,1,Math,50
3042022031,1,2019,School2,9,1,ELA,61.46
701156091,1,2019,School2,11,1,Math,43.1
701156091,1,2019,School2,11,1,ELA,50
301001560,1,2019,School2,11,1,Math,51.72
301001560,1,2019,School2,11,1,ELA,36.46
305001454,1,2019,School2,10,1,Math,39.66
305001454,1,2019,School2,10,1,ELA,38.54
303001213,1,2019,School2,11,1,Math,60.34
303001213,1,2019,School2,11,1,ELA,53.13
2021040,1,2019,School2,10,1,Math,36.21
2021040,1,2019,School2,10,1,ELA,56.25
305002229,1,2019,School2,10,1,Math,60.34
305002229,1,2019,School2,10,1,ELA,39.58
952228626,1,2019,School2,11,1,Math,18.97
952228626,1,2019,School2,11,1,ELA,23.96
305003356,1,2019,School2,10,1,Math,46.55
305003356,1,2019,School2,10,1,ELA,63.54
2021041,1,2019,School2,10,1,Math,68.97
2021041,1,2019,School2,10,1,ELA,83.33
303001188,1,2019,School2,10,1,Math,39.66
303001188,1,2019,School2,10,1,ELA,31.25
306001282,1,2019,School2,9,1,Math,32.76
306001282,1,2019,School2,9,1,ELA,40.63
304036,1,2019,School2,9,1,Math,29.31
304036,1,2019,School2,9,1,ELA,10.42
3042020088,1,2019,School2,11,1,Math,48.28
3042020088,1,2019,School2,11,1,ELA,70.83
306001300,1,2019,School2,10,1,Math,60.34
306001300,1,2019,School2,10,1,ELA,71.88
302001133,1,2019,School2,11,1,Math,56.9
302001133,1,2019,School2,11,1,ELA,68.75
701156085,1,2019,School2,9,1,Math,67.24
701156085,1,2019,School2,9,1,ELA,58.33
305002266,1,2019,School2,11,1,Math,41.38
305002266,1,2019,School2,11,1,ELA,36.46
2021043,1,2019,School2,10,1,Math,60.34
2021043,1,2019,School2,10,1,ELA,52.08
491472423,1,2019,School2,10,1,Math,36.21
491472423,1,2019,School2,10,1,ELA,37.5
302001134,1,2019,School2,11,1,Math,20.69
302001134,1,2019,School2,11,1,ELA,19.79
305001431,1,2019,School2,10,1,Math,65.52
305001431,1,2019,School2,10,1,ELA,53.13
306001114,1,2019,School2,10,1,Math,48.28
306001114,1,2019,School2,10,1,ELA,50
303001113,1,2019,School2,11,0.75,Math,29.55
303001113,1,2019,School2,11,0.75,ELA,44.44
302001322,1,2019,School2,10,1,Math,32.76
302001322,1,2019,School2,10,1,ELA,38.54
302001323,1,2019,School2,9,1,Math,25.86
302001323,1,2019,School2,9,1,ELA,9.38
306001094,1,2019,School2,9,1,Math,39.66
306001094,1,2019,School2,9,1,ELA,57.29
3042022035,1,2019,School2,9,1,Math,10.34
3042022035,1,2019,School2,9,1,ELA,22.92
303001341,1,2019,School2,9,1,Math,56.9
303001341,1,2019,School2,9,1,ELA,52.08
306001112,1,2019,School2,10,1,Math,31.03
306001112,1,2019,School2,10,1,ELA,11.46
673999326,1,2019,School2,10,1,Math,56.9
673999326,1,2019,School2,10,1,ELA,42.71
303001044,1,2019,School2,11,1,Math,20.69
303001044,1,2019,School2,11,1,ELA,54.17
3042022037,1,2019,School2,9,1,Math,32.76
3042022037,1,2019,School2,9,1,ELA,32.29
304039,1,2019,School2,11,1,Math,46.55
304039,1,2019,School2,11,1,ELA,69.79
301001563,1,2019,School2,11,1,Math,48.28
301001563,1,2019,School2,11,1,ELA,54.17
701156019,1,2019,School2,9,1,Math,17.24
701156019,1,2019,School2,9,1,ELA,29.17
301001351,1,2019,School2,10,1,Math,31.03
301001351,1,2019,School2,10,1,ELA,45.83
3042022038,1,2019,School2,9,1,Math,53.45
3042022038,1,2019,School2,9,1,ELA,57.29
701152532,1,2019,School2,11,1,Math,53.45
701152532,1,2019,School2,11,1,ELA,75
701152696,1,2019,School2,11,1,Math,43.1
701152696,1,2019,School2,11,1,ELA,56.25
304041,1,2019,School2,11,1,Math,50
304041,1,2019,School2,11,1,ELA,58.33
305001276,1,2019,School2,10,1,Math,41.38
305001276,1,2019,School2,10,1,ELA,39.58
701156020,1,2019,School2,9,1,Math,17.24
701156020,1,2019,School2,9,1,ELA,16.67
701156644,1,2019,School2,10,1,Math,27.59
701156644,1,2019,School2,10,1,ELA,35.42
3042022039,1,2019,School2,9,1,Math,29.31
3042022039,1,2019,School2,9,1,ELA,29.17
3042022040,1,2019,School2,9,1,Math,36.21
3042022040,1,2019,School2,9,1,ELA,34.38
303001196,1,2019,School2,11,1,Math,63.79
303001196,1,2019,School2,11,1,ELA,50
301001566,1,2019,School2,11,1,Math,34.48
301001566,1,2019,School2,11,1,ELA,37.5
303001345,1,2019,School2,9,1,Math,41.38
303001345,1,2019,School2,9,1,ELA,18.75
301001568,1,2019,School2,11,1,Math,32.76
301001568,1,2019,School2,11,1,ELA,59.38
301001569,1,2019,School2,11,1,Math,31.03
301001569,1,2019,School2,11,1,ELA,41.67
302001288,1,2019,School2,10,1,Math,55.17
302001288,1,2019,School2,10,1,ELA,51.04
701153780,1,2019,School2,10,1,Math,53.45
701153780,1,2019,School2,10,1,ELA,70.83
303001346,1,2019,School2,9,1,Math,34.48
303001346,1,2019,School2,9,1,ELA,7.29
305001481,1,2019,School2,9,1,Math,22.41
305001481,1,2019,School2,9,1,ELA,23.96
2021052,1,2019,School2,10,1,Math,39.66
2021052,1,2019,School2,10,1,ELA,43.75
302001045,1,2019,School2,9,1,Math,43.1
302001045,1,2019,School2,9,1,ELA,53.13
305001421,1,2019,School2,11,1,Math,24.14
305001421,1,2019,School2,11,1,ELA,39.58
303001348,1,2019,School2,9,1,Math,34.48
303001348,1,2019,School2,9,1,ELA,22.92
2021053,1,2019,School2,10,1,Math,56.9
2021053,1,2019,School2,10,1,ELA,65.63
303001349,1,2019,School2,9,1,Math,41.38
303001349,1,2019,School2,9,1,ELA,37.5
302001289,1,2019,School2,10,1,Math,55.17
302001289,1,2019,School2,10,1,ELA,48.96
310001118,1,2019,School2,9,1,Math,32.76
310001118,1,2019,School2,9,1,ELA,38.54
302001033,1,2019,School2,11,1,Math,34.48
302001033,1,2019,School2,11,1,ELA,17.71
303001350,1,2019,School2,9,1,Math,36.21
303001350,1,2019,School2,9,1,ELA,34.38
305001420,1,2019,School2,10,1,Math,34.48
305001420,1,2019,School2,10,1,ELA,32.29
302001036,1,2019,School2,11,1,Math,50
302001036,1,2019,School2,11,1,ELA,69.79
302001290,1,2019,School2,10,1,Math,82.76
302001290,1,2019,School2,10,1,ELA,75
303001221,1,2019,School2,11,1,Math,48.28
303001221,1,2019,School2,11,1,ELA,50
3042022043,1,2019,School2,9,1,Math,62.07
3042022043,1,2019,School2,9,1,ELA,58.33
306001087,1,2019,School2,11,1,Math,44.83
306001087,1,2019,School2,11,1,ELA,69.79
301001578,1,2019,School2,11,1,Math,60.34
301001578,1,2019,School2,11,1,ELA,76.04
701156579,1,2019,School2,9,1,Math,18.97
701156579,1,2019,School2,9,1,ELA,10.42
301001414,1,2019,School2,11,1,Math,31.03
301001414,1,2019,School2,11,1,ELA,46.88
634775998,1,2019,School2,10,1,Math,32.76
634775998,1,2019,School2,10,1,ELA,37.5
301001519,1,2019,School2,11,1,Math,68.97
301001519,1,2019,School2,11,1,ELA,80.21
303001166,1,2019,School2,11,1,Math,44.83
303001166,1,2019,School2,11,1,ELA,67.71
701158151,1,2019,School2,11,1,Math,20.69
701158151,1,2019,School2,11,1,ELA,19.79
702686908,1,2019,School2,10,1,Math,29.31
702686908,1,2019,School2,10,1,ELA,26.04
302001768,1,2019,School2,11,1,Math,44.83
302001768,1,2019,School2,11,1,ELA,43.75
701158494,1,2019,School2,11,1,Math,37.93
701158494,1,2019,School2,11,1,ELA,67.71
305001424,1,2019,School2,10,1,Math,55.17
305001424,1,2019,School2,10,1,ELA,42.71
306001168,1,2019,School2,10,1,Math,65.52
306001168,1,2019,School2,10,1,ELA,55.21
701152656,1,2019,School2,11,1,Math,43.1
701152656,1,2019,School2,11,1,ELA,44.79
701153829,1,2019,School2,10,1,Math,41.38
701153829,1,2019,School2,10,1,ELA,34.38
303001208,1,2019,School2,11,1,Math,58.62
303001208,1,2019,School2,11,1,ELA,38.54
701152669,1,2019,School2,11,1,Math,79.31
701152669,1,2019,School2,11,1,ELA,78.13
302001151,1,2019,School2,10,1,Math,44.83
302001151,1,2019,School2,10,1,ELA,46.88
301001168,1,2019,School2,10,1,Math,51.72
301001168,1,2019,School2,10,1,ELA,60.42
306001281,1,2019,School2,9,1,Math,53.45
306001281,1,2019,School2,9,1,ELA,54.17
248629363,1,2019,School2,9,1,Math,50
248629363,1,2019,School2,9,1,ELA,13.54
319247085,1,2019,School2,10,1,Math,50
319247085,1,2019,School2,10,1,ELA,39.58
